spkid,ma,full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
2001566,223.3210681353504,"  1566 Icarus (1949 MA)",1.078063024534608,.8268942439117076,22.82826628411188,88.01662379568675,31.37857393803302,.1866189149728947,1.969507134096322,1.11937197234149,24099,0,928,4,13,16.9
2001620,180.4727122540281,"  1620 Geographos (1951 RA)",1.24534335183082,.3354147270788195,13.33769327564891,337.2164073007622,276.8786705598555,.8276368513570634,1.663049852304577,1.38976657468206,23591,0,3670,3,4,15.60
2001685,24.18979253404026,"  1685 Toro (1948 OA)",1.367363410200331,.4359034232976747,9.380621654132314,274.3013857156278,127.110226605264,.7713250188020241,1.963401801598638,1.59894723989635,24750,0,2160,7,2,14.23
2001862,144.223610181527,"  1862 Apollo (1932 HA)",1.470240738574073,.5599397118986935,6.352954819084704,35.73911824322185,285.848315223398,.6469945629951842,2.293486914152962,1.78275178838973,31162,0,1444,8,9,16.25
2001863,325.4564363263279,"  1863 Antinous (1948 EA)",2.259899855601832,.6062601704844538,18.40012757872218,346.4899305937151,267.9856655256608,.889812583866873,3.629987127336792,3.39736332234132,24848,0,647,,,15.54
2001864,48.17660107571116,"  1864 Daedalus (1971 FA)",1.46071953162471,.614740280327109,22.21239472182653,6.643062343009559,325.6239588308034,.5627563972744524,2.358682665974967,1.7654623357944,16433,0,1689,,,14.85
2001865,38.3411866131063,"  1865 Cerberus (1971 UA)",1.080024282995551,.466970473703813,16.0945166451166,212.9325266310819,325.2373739479648,.5756848319534977,1.584363734037605,1.12242797539581,14539,0,726,,,16.84
2001866,218.9545926455519,"  1866 Sisyphus (1972 XA)",1.893707991646829,.5384527967051279,41.19264008895115,63.50832981838677,293.0845329252184,.874035627401743,2.913380355891916,2.6060198546901,22365,0,2771,0,1,12.4
2001981,6.629119566299166,"  1981 Midas (1973 EA)",1.776133064241597,.6500103723269686,39.83310091269661,356.9052449032645,267.7986788305917,.6216281498516769,2.930637978631517,2.36712641031715,15330,0,566,0,1,15.2
2002063,304.7338917879627,"  2063 Bacchus (1977 HB)",1.077956769730746,.3493283475874288,9.432821153299889,33.10486572665174,55.31896049854056,.7013959125900224,1.45451762687147,1.11920648704619,13993,0,674,7,5,17.3
2002101,81.59275159571669,"  2101 Adonis (1936 CA)",1.874944104639423,.763827824774997,1.330382320180576,349.8422902248081,43.24182248336398,.4428096276179881,3.307078581660857,2.567383170542,28154,0,106,0,5,18.8
2002102,85.78643003020903,"  2102 Tantalus (1975 YA)",1.290051783403005,.299148816495564,64.00535930263233,94.36993941983226,61.55509931046219,.9041343191800041,1.675969247626005,1.46527424957031,14111,0,707,,,16.0
2002135,83.44403419808138,"  2135 Aristaeus (1977 HA)",1.599472808063654,.50305407378915,23.06144910336901,191.2211181507471,290.8742523045232,.7948514960522617,2.404094120075047,2.02289571341572,13585,1,46,,,17.94
2002201,71.37938380649697,"  2201 Oljato (1947 XC)",2.174671942652521,.7131248452907215,2.522411797621681,75.00991770073156,98.22843342197288,.6238593499903692,3.725484535314673,3.20699903469005,30574,0,820,0,5,15.25
2002212,272.0812839243936,"  2212 Hephaistos (1978 SB)",2.159046966620792,.8375761823840501,11.5582328815967,27.56903897696376,209.3347492572086,.3506806507306854,3.967413282510898,3.17249785400511,15022,0,2194,,,13.87
2002329,202.9245611373794,"  2329 Orthos (1976 WA)",2.40880948656703,.6549550787407861,24.46668986591629,169.3218536643439,146.0297574500502,.8311474796209684,3.986471493513092,3.73862479194988,14570,0,487,,,14.6
2003103,208.622163495521,"  3103 Eger (1982 BB)",1.40439692839697,.3543653234085883,20.93104379535882,129.7920961108198,254.0072306499645,.9067273566715497,1.902066500122391,1.66434367025946,12508,0,2174,1,3,15.38
2003200,208.8333448965682,"  3200 Phaethon (1983 TB)",1.271194476429617,.8898751876405596,22.24284235233219,265.255126164139,322.149111356234,.1399900531891687,2.402398899670066,1.43326401754927,11782,0,3189,1,0,14.6
2003360,315.3490318613871,"  3360 Syrinx (1981 VA)",2.466970922472765,.7454713476865973,21.15432108855905,242.5605624706749,63.45717002118509,.6279147841933447,4.306027060752185,3.87484422786074,12556,0,360,,,15.9
2003361,283.4076826366829,"  3361 Orpheus (1982 HR)",1.209441990741181,.3228826503635961,2.684854934159494,189.6022466812084,301.6506257415162,.8189341553096448,1.599949826172718,1.33010451154314,11752,0,637,,,19.03
2003671,244.4080778953392,"  3671 Dionysus (1984 KD)",2.198891252965466,.5414710125246096,13.53467710061715,82.13199344725695,204.2173482269382,1.008255379790747,3.389527126140184,3.26072242148535,11629,0,490,,,16.5
2003752,291.9983031408025,"  3752 Camillo (1985 PA)",1.413433754181378,.3016827582082827,55.55970757686372,147.9785585968342,312.2221447538293,.9870251606752521,1.839842347687504,1.68043372916672,14481,0,1025,2,4,15.3
2003838,317.4356507561188,"  3838 Epona (1986 WA)",1.504984253343233,.7022356338358692,29.20548931464614,235.5100800019292,49.68490967674843,.4481306822837456,2.561837824402721,1.84631643743673,10684,0,620,,,15.6
2004015,161.912192734648,"  4015 Wilson-Harrington (1979 VA)",2.63920104032809,.6269774321248411,2.768331193463146,269.2164395269081,92.63716580638328,.9844815492019747,4.293920531454205,4.28762616836386,24241,0,910,,,15.99
2004034,50.80809315190232,"  4034 Vishnu (1986 PA)",1.059653890093643,.4439051938481083,11.17007366517922,158.0036734030674,296.5800497394488,.5892680245997226,1.530039755587564,1.09082292717582,10565,0,482,0,1,18.4
2004179,281.883273538571,"  4179 Toutatis (1989 AC)",2.534448118161193,.6293824383673633,.447118242422446,124.3732684864776,278.726315464907,.9393109816373261,4.12958525468506,4.0349049663775,29317,0,5212,29,28,15.30
2004183,126.4616639609362,"  4183 Cuno (1959 LM)",1.982400134284544,.6344129047076564,6.706491922830138,294.9296531670922,236.2883690240602,.7247399068002381,3.240060361768849,2.79122714445724,20596,0,1774,1,0,14.4
2004197,170.0121022747754,"  4197 Morpheus (1982 TA)",2.296648438865259,.7718224618305793,12.57698493682147,7.185919272360763,122.407725018819,.5240435868209179,4.069253290909599,3.4805668760904,21642,0,636,4,2,14.6
2004257,108.877886738628,"  4257 Ubasti (1987 QA)",1.64697202227584,.4683236533016194,40.71699358991126,169.215160245263,278.933626043994,.8756560679180627,2.418287976633618,2.11367171054455,9804,0,632,,,15.8
2004341,215.3234035473804,"  4341 Poseidon (1987 KF)",1.835217190645273,.6795743087689858,11.85246636615571,108.1208650692563,15.65063808570368,.5880507368715516,3.082383644418995,2.48621913840656,10292,0,406,,,16.0
2004450,171.2973773219575,"  4450 Pan (1987 SY)",1.442253526392916,.58654444167886,5.51975956451663,311.8525267714293,291.7757157602629,.5963077369954161,2.288199315790416,1.73209064675257,10306,0,889,1,0,17.1
2004486,270.6673696599332,"  4486 Mithra (1987 SB)",2.199397360844328,.6628382199269518,3.039531250217747,82.24845023226237,168.8755796916657,.7415527292702381,3.657241992418419,3.26184824268829,10607,0,723,8,9,15.6
2004544,269.2692509947568,"  4544 Xanthus (1989 FB)",1.04177387876107,.2501211493145077,14.14561113002282,24.009982243329,333.7470931656704,.781204198879519,1.302343558642622,1.06333081061318,7629,0,809,0,1,17.1
2004581,42.95258968733214,"  4581 Asclepius (1989 FC)",1.022394755408817,.3570631152827726,4.919071479837801,180.3003542311523,255.3007795364342,.6573352989937767,1.387454211823858,1.03379903344156,9628,0,180,2,2,20.7
2004660,253.7889838316034,"  4660 Nereus (1982 DB)",1.488725519364418,.3599730456898795,1.431822121981028,314.458889524756,158.0193855671611,.9528244599625605,2.024626578766274,1.81647803943096,12289,0,547,16,16,18.2
2004769,327.2255766082704,"  4769 Castalia (1989 PB)",1.063265833087676,.4831283762789045,8.886260923845784,325.5919228643551,121.3533388458283,.5495719375951902,1.576959728580161,1.09640495612471,9757,0,273,8,7,16.9
2004953,197.2164960471648,"  4953 (1990 MU)",1.621239890780852,.6576181082954994,24.38785564029299,77.73747782610656,77.74829939990097,.5550831807123462,2.687396600849358,2.06432999921985,15032,0,201,0,2,14.1
2005011,106.3425038036246,"  5011 Ptah (6743 P-L)",1.635544086983976,.5000114654302648,7.407562347048008,10.78209192872554,105.7475832868663,.8177532912753136,2.453334882692638,2.09171054175654,19701,0,567,,,16.4
2005131,57.1535866170886,"  5131 (1990 BG)",1.486147963401171,.5691114952755846,36.42148057187952,110.3972585982298,135.8151682151168,.640364073749166,2.331931853053177,1.81176254969898,13535,0,842,,,14.7
2005143,215.5640000350212,"  5143 Heracles (1991 VL)",1.833668695813864,.7723581701033717,9.033777244311157,309.5568132381317,227.7206665003156,.417419697339232,3.249917694288497,2.48307311954245,22676,0,1904,,,13.9
2005189,66.31537764397864,"  5189 (1990 UQ)",1.551400260325492,.4781173666862552,3.583660609941179,135.3377814002623,159.6569499883698,.8096488531822971,2.293151667468688,1.93238648875317,9269,0,267,0,1,17.9
2005496,85.30548464905249,"  5496 (1973 NA)",2.435262881567866,.6358981882971291,67.99190413972815,101.072055560664,118.0111454017281,.886683627151614,3.983842135984118,3.80037958234715,15086,0,203,,,16.0
2005645,324.4349327195139,"  5645 (1990 SP)",1.354943007438176,.3872454010366386,13.50658783234292,45.76509183271543,48.19577651348163,.8302475591409904,1.879638455735362,1.57721080726732,14935,0,530,,,17.1
