id,full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
a0000010,"    10 Hygiea",3.14391529716374,.1140558191698366,3.832190197134019,283.3358264459519,311.8217676947241,2.78533346254515,3.502497131782331,5.57460958923546,59732,0,2840,,,5.43
a0000024,"    24 Themis",3.136106936521681,.1256687130049861,.7521883029072399,35.92028326987861,106.836160514623,2.741996413962992,3.530217459080371,5.55385448638203,59319,0,2309,,,7.08
a0000031,"    31 Euphrosyne",3.155978440143127,.2216588309516034,26.30334724109455,31.12565299271397,61.45725796907618,2.456427948592536,3.855528931693717,5.60672485235704,56617,0,1569,,,6.74
a0000034,"    34 Circe",2.687884854748732,.1046393829962418,5.498707218619867,184.4217836246291,330.5534008280672,2.406626241982882,2.969143467514582,4.40680864341161,55411,0,2117,,,8.51
a0000035,"    35 Leukothea",2.993356893911458,.2264357664345414,7.936752901281084,353.7497007065609,213.2352437787261,2.315553831426498,3.671159956396417,5.17900049675097,56985,0,2106,,,8.50
a0000036,"    36 Atalante",2.748933269393624,.3020037230499809,18.42628099866847,358.4132948257451,47.00958407140966,1.918745187620793,3.579121351166454,4.55779196470958,54827,0,1144,,,8.46
a0000038,"    38 Leda",2.738482386025726,.15553737884468,6.972077801362603,295.7387387556496,169.4981457262895,2.312546013690959,3.164418758360493,4.53182499162058,58487,0,1608,,,8.32
a0000041,"    41 Daphne",2.759558463245825,.2756317747520636,15.79654517056545,178.0932361079813,45.97060799448724,1.998936466489301,3.520180460002349,4.58424269148482,54669,0,1968,,,7.12
a0000047,"    47 Aglaja",2.880938208641669,.1321454956790165,4.983281376608534,3.118131896179197,313.9981645102872,2.500235201040098,3.26164121624324,4.89000290907778,57003,0,1841,,,7.84
a0000054,"    54 Alexandra",2.709748818969456,.1982673215708073,11.8016600087926,313.3327100800242,345.1897813185626,2.172494178502724,3.247003459436189,4.46068705428166,55665,0,1583,,,7.66
a0000058,"    58 Concordia",2.699571932996302,.04325515708781669,5.065763447933159,161.1220397926041,29.93355334884104,2.582801524964686,2.816342341027918,4.43558145023663,55554,0,2138,,,8.86
a0000066,"    66 Maja",2.648227375451733,.1713058537204728,3.047182946975346,7.523959105161653,44.15628861093877,2.194570524054047,3.101884226849419,4.30964113921521,56591,0,1945,,,9.36
a0000070,"    70 Panopaea",2.614540513438438,.1820290654347702,11.59104476137175,47.73519413857777,255.3867380471751,2.138618147235895,3.090462879640981,4.22767180874657,54604,0,1495,,,8.11
a0000074,"    74 Galatea",2.778009467593675,.2398278299401522,4.077714208048638,197.2716346308413,174.1393585184698,2.111765485427486,3.444253449759863,4.63029631509523,55548,0,1944,,,8.66
a0000078,"    78 Diana",2.619494655800448,.2078962042793539,8.704153757467711,333.4179401181834,152.9826069654141,2.074911659729482,3.164077651871414,4.23969365716766,55860,0,1665,,,8.09
a0000081,"    81 Terpsichore",2.857732574411058,.2083461011930901,7.805404853221422,.9872742113640715,51.83239005332251,2.262335134280022,3.453130014542094,4.83103940761674,55272,0,1482,,,8.48
a0000086,"    86 Semele",3.112890402129213,.2119363246131271,4.814721388476741,86.20385824387348,308.809591541693,2.453155851378468,3.772624952879958,5.49229616406421,52675,0,1755,,,8.54
a0000090,"    90 Antiope",3.14868452281926,.1652257618335077,2.207200322781824,69.973680322989,244.8748199826954,2.628440723763073,3.668928321875447,5.5872991731314,54589,0,3031,,,8.27
a0000095,"    95 Arethusa",3.064202218457333,.1524848344805271,12.99638602600286,243.0390401288359,154.2476721787562,2.596957850361002,3.531446586553663,5.36394524900763,52405,0,1394,,,8.0
a0000099,"    99 Dike",2.665585278220609,.1950621765001437,13.84782864550632,41.53156478742655,195.3805259541522,2.145630412204156,3.185540144237062,4.35208204469583,36949,0,1515,,,9.43
a0000104,"   104 Klymene",3.152831703762783,.1568376501267921,2.789040152049839,41.73037260453241,32.16660613338856,2.658348988099378,3.647314419426188,5.59834148399784,47664,0,1812,,,8.27
a0000105,"   105 Artemis",2.373080089129501,.1777828069585818,21.44428313018018,188.2645754551885,57.10604894128024,1.951187249746537,2.794972928512466,3.65575258266402,36784,0,1631,2,0,8.57
a0000107,"   107 Camilla",3.488507310794644,.06636795166129213,10.00265193109303,172.6120081363078,306.8967630503477,3.256982226221761,3.720032395367527,6.51579869642999,53790,0,2071,,,7.08
a0000111,"   111 Ate",2.593108017685789,.103483482412668,4.932208085991648,305.7555086751689,166.4155666342231,2.324764169743453,2.861451865628124,4.17579446438585,53168,0,1776,,,8.02
a0000120,"   120 Lachesis",3.117395333949419,.05251656425222995,6.964262428074182,341.1942791082852,232.6831614408467,2.953680441594463,3.281110226304376,5.50422303882775,52485,0,1440,,,7.75
a0000121,"   121 Hermione",3.448269965038122,.13376879061455,7.596851116238958,73.13141687047172,298.315418625879,2.986999062102496,3.909540867973748,6.40339203353073,52513,0,2250,,,7.31
a0000128,"   128 Nemesis",2.750730383911221,.1263372522883922,6.243400462052167,76.26413034385818,303.8135895616924,2.403210665421683,3.098250102400759,4.56226217834602,52340,0,1642,,,7.49
a0000134,"   134 Sophrosyne",2.562619797474603,.1171097694247262,11.60181179916795,345.9865699110895,84.76016099734261,2.262511983869114,2.862727611080092,4.10236660050502,50585,0,1339,,,8.76
a0000137,"   137 Meliboea",3.121234377931236,.2157125412449162,13.41220993709162,202.3052273499069,107.1392259426225,2.447944978446694,3.794523777415778,5.51439376937871,47813,0,1604,,,8.05
